,precision,recall,f1-score,support
001_,1.0,1.0,1.0,59.0
003_,1.0,1.0,1.0,70.0
004_,1.0,1.0,1.0,52.0
005_,1.0,1.0,1.0,57.0
006_,1.0,1.0,1.0,51.0
007_,1.0,1.0,1.0,26.0
008_,1.0,1.0,1.0,61.0
009_,1.0,1.0,1.0,36.0
010_,1.0,1.0,1.0,32.0
011_,1.0,1.0,1.0,24.0
012_,1.0,1.0,1.0,50.0
013_,1.0,1.0,1.0,87.0
014_,1.0,1.0,1.0,73.0
015_,1.0,1.0,1.0,45.0
016_,1.0,1.0,1.0,43.0
017_,1.0,1.0,1.0,44.0
018_,1.0,1.0,1.0,38.0
019_,1.0,1.0,1.0,35.0
020_,1.0,1.0,1.0,40.0
023_,1.0,0.975609756097561,0.9876543209876543,41.0
025_,1.0,1.0,1.0,31.0
026_,0.96875,1.0,0.9841269841269841,31.0
030_,0.9864864864864865,1.0,0.9931972789115646,73.0
031_,1.0,1.0,1.0,51.0
032_,1.0,0.975,0.9873417721518988,40.0
035_,1.0,1.0,1.0,43.0
037_,1.0,1.0,1.0,31.0
038_,1.0,1.0,1.0,40.0
040_,1.0,1.0,1.0,30.0
041_,1.0,1.0,1.0,58.0
042_,1.0,1.0,1.0,63.0
043_,1.0,1.0,1.0,32.0
044_,1.0,0.9696969696969697,0.9846153846153847,33.0
045_,1.0,1.0,1.0,28.0
046_,1.0,1.0,1.0,36.0
047_,1.0,1.0,1.0,62.0
048_,1.0,1.0,1.0,25.0
052_,1.0,1.0,1.0,32.0
053_,1.0,1.0,1.0,42.0
054_,1.0,1.0,1.0,33.0
057_,1.0,1.0,1.0,34.0
058_,1.0,1.0,1.0,24.0
059_,1.0,1.0,1.0,43.0
060_,1.0,0.9651162790697675,0.9822485207100592,86.0
061_,0.9473684210526315,1.0,0.972972972972973,72.0
062_,1.0,1.0,1.0,44.0
063_,1.0,1.0,1.0,41.0
065_,1.0,1.0,1.0,45.0
066_,1.0,1.0,1.0,76.0
067_,1.0,1.0,1.0,34.0
068_,1.0,1.0,1.0,71.0
069_,1.0,1.0,1.0,67.0
070_,1.0,1.0,1.0,34.0
071_,1.0,1.0,1.0,44.0
072_,1.0,1.0,1.0,50.0
097_,1.0,1.0,1.0,35.0
099_,1.0,1.0,1.0,36.0
100_,1.0,1.0,1.0,37.0
150_,1.0,1.0,1.0,35.0
162_,1.0,1.0,1.0,34.0
165_,1.0,1.0,1.0,26.0
accuracy,0.9978150036416606,0.9978150036416606,0.9978150036416606,0.9978150036416606
macro avg,0.9984033591399855,0.9981216886043328,0.9982320858110905,2746.0
weighted avg,0.9979079715328852,0.9978150036416606,0.9978217663665248,2746.0
